Cornbread Cakes | 8 | 6 | 4 | 25 m | 1 cup self-rising cornmeal; ; ;  | ;  | Home; Recipes; Breakfast and Brunch; Pancakes
Quick Fruit and Oat Breakfast Bake | 11 | 4 | 5 | 35 m | 3 cups Quaker® Oats (Quick or Old Fashioned, uncooked); 2 tablespoons brown sugar; 1 teaspoon baking powder; 1 teaspoon ground cinnamon; 1/8 teaspoon salt; 1 cup nonfat milk; 1 teaspoon vanilla extract; 2 egg whites, beaten; 6 tablespoons finely chopped apple with peel | Heat oven to 350 degrees F.; In large bowl, stir together oats, brown sugar, baking powder, cinnamon, and salt. Combine well. In separate bowl stir together milk, vanilla, and egg whites. Add to oat mixture. Stir to combine well. Let stand about 5 minutes until liquid is absorbed.; Coat 6 muffin pan cups with nonstick spray. Portion oat mixture evenly into cups. Top each with 1 tablespoon apple, pressing lightly.; Bake 20 minutes or just until firm. Let stand in pan on wire rack 5 minutes. Serve warm or at room temperature. Refrigerate or freeze leftovers. Reheat in microwave oven on High 30 seconds to 1 minute or until heated as desired. | Home; Recipes; Trusted Brands: Recipes and Tips; Quaker® Oats
The Denver Omelet | 14 | 3 | 5 | 20 m | 3 large eggs; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Chicken and Mushroom Crepes | 10 | 4 | 4.75 | 57 m | 5 tablespoons butter, divided; 2 tablespoons canola oil; 3 boneless, skinless chicken breasts, cut into chunks; 1 (8 ounce) package sliced fresh mushrooms; 1/3 cup finely chopped onion; 1/4 cup all-purpose flour; 2 cups milk; 2 cubes chicken bouillon; 1/4 teaspoon salt; 1/8 teaspoon ground black pepper; 1/2 cup sour cream; 3 tablespoons dry sherry; 2 teaspoons dried parsley, divided; 1 cup milk; 3/4 cup all-purpose flour; 1 egg; 1 tablespoon butter, melted; 1 1/2 teaspoons white sugar; 1/4 teaspoon vanilla extract; 1/4 teaspoon baking powder | Heat 1 tablespoon butter and oil in a large skillet over medium heat. Cook and stir chicken until no longer pink in the center, about 5 minutes. Transfer to a plate.; Melt remaining 1/4 cup butter in the same skillet over medium heat. Add mushrooms and onion; cook and stir until softened, about 5 minutes. Stir in 1/4 cup flour and cook for 2 minutes. Reduce heat to low. Add 2 cups milk, chicken bouillon cubes, salt, and pepper; cook and stir until thickened into a sauce, about 5 minutes. Stir in sour cream and sherry.; Scoop 1 cup sauce into a bowl; keep warm. Stir chicken and 1 teaspoon parsley into remaining sauce in the skillet. Simmer until chicken is heated through, about 5 minutes.; Beat 1 cup milk, 3/4 cup flour, egg, 1 tablespoon melted butter, sugar, vanilla extract, and baking powder together in a bowl to make crepe batter.; Grease a 7-inch skillet lightly; heat over medium heat. Pour 2 tablespoons batter into the skillet, swirling to spread evenly. Cook crepe until golden brown, about 30 seconds per side. Transfer crepe to a plate. Repeat with remaining batter, separating crepes with waxed paper and covering to keep warm.; Scoop 1/4 cup chicken mixture onto each crepe and roll up. Spoon reserved 1 cup sauce over filled crepes. Garnish with remaining 1 teaspoon parsley. | Home; Recipes; Breakfast and Brunch; Crepes
Breakfast for Dinner Casserole | 40 | 2 | 4.75 | 55 m | 1 pound ground turkey breakfast sausage; 1 (8 ounce) can refrigerated reduced-fat crescent roll dough; 5 eggs, lightly beaten; 1 cup shredded Cheddar cheese; 1 cup shredded mozzarella cheese; 2/3 cup milk; 2/3 red bell pepper, chopped; 1/2 cup chopped fresh spinach; 1 scallion, chopped; 1 tablespoon minced parsley; salt and ground black pepper to taste | Preheat oven to 400 degrees F (200 degrees C). Lightly grease a 9x13-inch baking dish.; Heat a large skillet over medium-high heat. Cook and stir turkey in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.; Unroll crescent roll dough and spread evenly over the bottom of the prepared baking dish.; Bake in the preheated oven for 10 minutes.; Mix sausage and eggs together in a bowl. Add Cheddar cheese, mozzarella cheese, milk, red bell pepper, spinach, scallion, parsley, salt, and pepper, stirring well after each addition. Pour egg mixture over the baked crescent rolls.; Bake in the oven until eggs are set, 25 to 30 minutes. | Home; Recipes; Breakfast and Brunch; Eggs
Banana Split Pancakes | 7 | 3 | 5 | 25 m | 1 cup all-purpose flour; 1 tablespoon brown sugar; 2 teaspoons baking powder; 1/4 teaspoon salt; 2 ripe bananas; 1 cup milk; 1 egg; 2 tablespoons canola oil; 1 teaspoon vanilla extract; 4 ounces semisweet chocolate chips; 2 cups sliced fresh strawberries; 1 (7 ounce) can whipped cream | Mix flour, brown sugar, baking powder, and salt together in a large bowl.; Mash bananas in a large bowl using a fork. Add milk, egg, oil, and vanilla extract; mix well.; Stir banana mixture and chocolate chips into the flour mixture until batter is blended but still slightly lumpy.; Heat a lightly oiled griddle over medium heat. Drop 1/4 cup batter onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.; Top pancakes with strawberries and whipped cream. | Home; Recipes; Breakfast and Brunch; Pancakes; Banana Pancakes
Baked Coconut French Toast with Pineapple-Rum Sauce | 22 | 3 | 4.75 | 8 h 50 m | 6 large eggs; 1 (13.5 ounce) can light coconut milk; 2 tablespoons white sugar; 1 teaspoon vanilla extract; 1/4 teaspoon salt; 16 (1 1/4-inch thick) diagonal slices French bread; 1 cup packed sweetened flaked coconut; 1 (6 ounce) can unsweetened pineapple juice; 1/2 cup packed brown sugar; 4 1/2 cups frozen pineapple chunks; 2 tablespoons butter; 2 tablespoons dark rum | Line a 13x18-inch sheet pan with parchment paper. Whisk eggs in a deep bowl, then whisk in coconut milk, sugar, vanilla, and salt until sugar is dissolved. Submerge each slice of bread in egg mixture, turning over several times, until saturated, then transfer to prepared sheet pan. Pour remaining egg mixture over bread and chill, covered with plastic wrap, at least 8 hours or up to 24 hours.; Preheat oven to 350 degrees F (175 degrees C). Press coconut evenly into bread. Bake in upper third of oven until cooked through and golden, 30 to 35 minutes.; Meanwhile, bring pineapple juice and brown sugar to a simmer over medium heat, stirring. Add pineapple chunks and bring to a boil, stirring, then cook over medium-high heat, stirring occasionally, 10 minutes. Add butter and rum and simmer, stirring, until butter is melted. Keep warm, covered, off heat.; Serve French toast with warm pineapple-rum sauce. | Home; Recipes; Breakfast and Brunch; French Toast
Chilaquiles | 21 | 3 | 3.75 | 33 m | 2 tomatoes, chopped; 6 dried chile de arbol peppers; 1 onion, sliced; 2 cloves garlic, minced; 1 teaspoon chicken bouillon granules; salt to taste; water to cover; 2 tablespoons vegetable oil, or to taste; 2 (6 inch) corn tortillas, cut into strips; 4 eggs | Combine tomatoes, chile de arbol peppers, onion, garlic, chicken bouillon, and salt in a saucepan; add enough water to cover. Bring to a boil; reduce heat and cook, stirring occasionally, until tomatoes and peppers soften, 5 to 10 minutes.; Transfer chile peppers to a blender using a slotted spoon; blend until smooth. Pour in tomato mixture; blend until smooth.; Heat oil in a large skillet over medium heat. Cook and stir corn tortillas in the hot oil until crispy, 3 to 5 minutes. Crack in eggs; stir until scrambled and set, about 5 minutes. Strain blended sauce over tortillas and eggs; mix well. | Home; Recipes; Breakfast and Brunch; Eggs; Scrambled Eggs
Southwest Sausage Bake | 5 | 4 | 5 | 10 h 10 m | 1 (16 ounce) package bulk pork sausage with sage; 6 flour tortillas, cut into 1-inch squares; 4 (4 ounce) cans chopped green chilies; 2 cups shredded Monterey Jack cheese; 10 eggs; 1/2 cup milk; 1/2 teaspoon salt; 1/2 teaspoon garlic salt; 1/2 teaspoon onion salt; 1/2 teaspoon ground black pepper; 1/2 teaspoon ground cumin; 2 tomatoes (or to taste), sliced | Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.; Grease a 10x9-inch baking dish. Layer half the tortilla pieces into the bottom of the prepared dish; top with 2 cans green chilies, half the cooked sausage, and half the cheese, respectively. Repeat layering.; Beat eggs, milk, salt, garlic salt, onion salt, black pepper, and cumin together in a bowl; pour over the layers in the baking dish.; Cover baking dish with plastic wrap and refrigerate 8 hours to overnight.; Remove dish from refrigerator and let warm at room temperature for 30 minutes.; Preheat oven to 350 degrees F (175 degrees C).; Bake the casserole bake in the preheated oven for 50 minutes. Arrange a layer of tomato slices atop the casserole and continue baking until a knife inserted into the middle of the casserole comes out clean, 10 to 15 minutes more. Let casserole cool 10 minutes before cutting. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Sausage
Polish Nalesniki | 6 | 3 | 5 | 20 m | 2 cups ricotta cheese; 3 ounces cream cheese, softened; 1 egg yolk; 2 tablespoons butter, melted; 1 tablespoon white sugar; 1 teaspoon vanilla extract; 1/2 teaspoon salt; 12 crepes; 1 tablespoon butter, divided | Process ricotta cheese and cream cheese in a food processor until smooth and creamy; add egg yolk, melted butter, sugar, vanilla extract, and salt and process until fluffy.; Divide cheese mixture between the crepes. Spread filling into a thin layer and roll crepes around the filling.; Melt 1 teaspoon butter in a skillet over medium heat. Fry 3 crepes in melted butter until heated through, 1 to 2 minutes per side; repeat with remaining butter and crepes. | Home; Recipes; Breakfast and Brunch; Crepes
Memaw's Country Eggs Goldenrod | 10 | 4 | 4.5 | 30 m | 4 cups milk; 1/4 cup cornstarch; 3 tablespoons butter; 1 teaspoon salt; 1/4 teaspoon ground black pepper; 12 hard-boiled eggs, peeled and sliced; 12 slices bread, toasted | Stir milk, cornstarch, butter, salt, and black pepper together in a saucepan over medium heat; cook and stir until the mixture is thick and smooth, about 20 minutes.; Stir egg slices into the sauce and cook until just warmed, about 5 minutes. Ladle egg and sauce over toast slices. | Home; Recipes; Breakfast and Brunch; Eggs
Ann's Berry Green Smoothie | 19 | 3 | 4.25 | 15 m | 2 cups frozen strawberries; 1 1/2 cups warm water; 2 cups milk; 1 1/2 cups fresh spinach, or to taste; 1 cup frozen blueberries; 1 frozen chopped banana; 1 tablespoon honey; 1/2 lemon, juiced | Place strawberries in a bowl; add warm water.; Blend milk and spinach together in a blender until smooth. Add blueberries, banana, and honey and blend until smooth. Add strawberries-water mixture and lemon juice and blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Greek Yogurt Oatmeal | 6 | 4 | 4.25 | 10 m | 1/2 cup rolled oats; 1/2 banana, sliced; 1/2 teaspoon ground cinnamon (optional); 1 pinch salt; 1 cup water; 1/4 cup Greek yogurt; 2 tablespoons strawberry jam; 1 tablespoon peanut butter | Combine oats, banana, cinnamon, and salt in a microwave-safe bowl; add water and stir. Cook in microwave until water is absorbed, 2 to 3 minutes. Stir to evenly distribute cinnamon; let stand until slightly cooled, about 3 minutes.; Spoon Greek yogurt, strawberry jam, and peanut butter over oatmeal; stir. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Berry Baked Oatmeal | 17 | 4 | 4.75 | 40 m | cooking spray; 1 1/2 cups oats; 1/3 cup packed brown sugar; 1/4 cup oat bran; 1/4 cup chia seeds; 1 teaspoon baking powder; 1 teaspoon ground cinnamon; 1/2 teaspoon dried orange peel; 1/4 teaspoon salt; 2 cups milk; 2 eggs; 3 tablespoons honey; 1 1/2 tablespoons butter, melted; 1 1/2 teaspoons vanilla extract; 1 cup chopped fresh strawberries; 1 cup fresh blueberries | Preheat oven to 375 degrees F (190 degrees C). Spray an 8x8-inch glass baking dish with cooking spray.; Mix oats, brown sugar, oat bran, chia seeds, baking powder, cinnamon, orange peel, and salt together in a bowl. Whisk milk, eggs, honey, butter, and vanilla extract together in a separate bowl.; Layer strawberries into the prepared baking dish; top with oat mixture. Pour milk mixture over oat mixture and top with blueberries.; Bake in the preheated oven until lightly browned and set, 23 to 28 minutes. | Home; Recipes; Breakfast and Brunch; Cereals; Oatmeal
Kale and Smoked Salmon Frittata | 10 | 4 | 4 | 45 m | 2 tablespoons butter; 2 cups chopped kale, or to taste; 2 tablespoons water; 2 potatoes, cut into 1/4-inch slices; 4 ounces smoked salmon, finely chopped; 1 tablespoon capers; 12 eggs, beaten; 3 ounces crumbled feta cheese | Heat butter in a large oven-safe skillet over medium heat; cook and stir kale, about 2 minutes. Add water and cover skillet; cook, stirring frequently, until kale is wilted, about 5 minutes. Remove lid and cook, stirring frequently, until water is evaporated, 2 to 3 minutes.; Mix potatoes, salmon, and capers into kale; cook and stir until heated through, 3 to 5 minutes.; Set oven rack about 6 inches from the heat source and preheat the oven's broiler.; Pour eggs over kale-salmon mixture; cook, stirring gently and scraping the bottom of the skillet to prevent sticking, until barely set, about 5 minutes. Sprinkle feta cheese over egg mixture.; Broil in the preheated oven until top is browned and eggs are set and puffed, about 5 minutes. Allow frittata to sit in skillet for a few minutes before serving. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Seafood
Matcha Frappe | 7 | 4 | 4.5 | 5 m | 1 cup milk; 1 teaspoon matcha green tea powder, or more to taste; 5 ice cubes, or as needed; 1 tablespoon vanilla-flavored syrup (such as Torani®); 1 tablespoon whipped cream, or to taste | Combine milk, matcha green tea powder, ice, and vanilla syrup, respectively in a blender; blend to desired consistency. Serve with whipped cream on top. | Home; Recipes; Breakfast and Brunch; Drinks
Blueberry Summer Squash Bread | 9 | 4 | 4.5 | 1 h 15 m | 1 1/2 cups grated yellow squash; 1/2 cup honey; 1/2 cup blueberry syrup (such as Stonewall Kitchen® Wild Maine); 1/2 cup vegetable oil; 1 egg; 1/2 teaspoon vanilla extract; 1 cup all-purpose flour; 1/2 cup whole wheat flour; 1 teaspoon baking soda; 1/2 teaspoon baking powder; 1/2 teaspoon salt; 1/2 cup blueberries; 1/2 cup chopped walnuts | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5-inch bread pan.; Whisk squash, honey, blueberry syrup, oil, egg, and vanilla extract together in a bowl. Mix all-purpose flour, whole wheat flour, baking soda, baking powder, and salt together in a separate bowl; add blueberries and walnuts. Stir flour mixture into squash mixture just until combined; pour into prepared bread pan.; Bake in the preheated oven until the top is brown and a toothpick inserted in the center comes out clean, about 1 hour. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Breakfast on a Stick | 4 | 3 | 4.75 | 45 m | 1 pound bacon; skewers; 1/2 cup cubed fully cooked ham; 1/2 cup 1-inch pieces link sausage; 2 tablespoons barbeque sauce; 2 tablespoons grape jelly | Preheat oven to 400 degrees F (200 degrees C).; Thread 1 end of a piece of bacon onto a skewer; add a ham cube and fold bacon over the ham through the skewer. Add a piece of sausage and fold bacon over sausage. Repeat with remaining bacon, ham, and sausage. Spread bacon, ham, and sausage out onto the skewer so bacon isn't squeezed too closely to the meat.; Bake in the preheated oven for 15 minutes. Combine barbeque sauce and grape jelly in a microwave-safe bowl; heat in microwave for 30 seconds. Stir sauce and brush over skewers. Continue baking skewers, basting every 10 minutes, until bacon is desired crispness, 15 to 30 minutes more. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Raw Mango Monster Smoothie | 11 | 2 | 4.5 | 10 m | 1 tablespoon flax seeds; 2 tablespoons pepitas (raw pumpkin seeds); 1 ripe mango, cubed; 1 frozen banana, quartered; 1/3 cup water, or more to taste; 3 ice cubes; 2 leaves kale, or more to taste | Blend flax seeds in a blender until finely ground; add pepitas and blend until ground, about 1 minute.; Place mango, banana, water, ice cubes, and kale in the blender; blend until smooth, kale is fully incorporated, and the smoothie is uniform in color, about 3 minutes. Thin with more water to reach desired consistency. | Home; Recipes; Breakfast and Brunch; Drinks
Buckwheat Waffles | 3 | 4 | 3.25 | 10 m | cooking spray; 1/2 cup soy milk; 2 eggs; 2 tablespoons stevia powder; 1 tablespoon olive oil; 1/4 teaspoon lemon juice; 1/4 teaspoon vanilla extract; 1/4 teaspoon salt; 1/4 teaspoon pumpkin pie spice; 1/4 teaspoon ground cinnamon; 1 pinch ground cloves; 1 pinch ground nutmeg; 3/4 cup buckwheat flour; 1 teaspoon baking powder | Preheat a waffle iron according to manufacturer's instructions. Spray with cooking spray.; Combine soy milk, eggs, stevia, olive oil, lemon juice, vanilla extract, salt, pumpkin pie spice, cinnamon, cloves, and nutmeg together in a bowl. Stir in buckwheat flour and baking powder; mix just until smooth batter forms.; Pour batter into preheated waffle iron and cook according to manufacturer's instructions; repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Waffles
Simple Savory Oatmeal | 6 | 4 | 5 | 10 m | 1 cup water; 1/2 cup rolled oats; 1 tablespoon cooked real bacon bits; 1 teaspoon butter; 1/2 teaspoon Creole seasoning (such as Tony Cachere's®) | Place water and oats in a microwave-safe bowl. Cook at 50% power, stirring half way through cooking, until oats are softened, 3 to 5 minutes. Stir in butter until melted. Stir in bacon bits and Creole seasoning until evenly distributed. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Marty Bars: Oatmeal Breakfast Bars | 7 | 3 | 3.75 | 50 m | 4 ripe bananas, mashed; 4 cups old-fashioned rolled oats; 1 cup mixed frozen fruit; 1/2 cup unsweetened applesauce; 2 teaspoons vanilla extract; 1 1/2 teaspoons ground cinnamon; 1/4 teaspoon ground nutmeg; 1/8 teaspoon salt | Preheat oven to 350 degrees F (175 degrees C).; Mix mashed bananas, oats, frozen fruit, applesauce, vanilla extract, cinnamon, nutmeg, and salt together in a large bowl until well-combined.; Spread mixture evenly on a nonstick jelly roll pan or rimmed baking sheet. Use a thick rolled piece of aluminum foil to block off edges if mixture does not reach all the way across.; Bake in the preheated oven until golden brown, about 25 minutes. Let cool in the pan, about 15 minutes. Cut into bars. | Home; Recipes; Breakfast and Brunch
Bananas Foster French Toast Bake | 9 | 4 | 4.25 | 8 h 50 m | cooking spray; 1 loaf French bread, cut diagonally into 1-inch slices; 1 1/2 cups half-and-half; 6 eggs, slightly beaten; 2 teaspoons vanilla extract; 1 teaspoon ground cinnamon; 1/2 teaspoon salt; 3 large bananas, cut diagonally into 1/2-inch slices; 1 cup brown sugar; 1/2 cup unsalted butter, melted; 2 tablespoons light corn syrup | Spray a 9x13-inch baking pan with cooking spray. Arrange bread slices in baking pan in a single layer. Whisk half-and-half, eggs, vanilla extract, cinnamon, and salt together in a bowl; pour over bread slices. Cover with plastic wrap and refrigerate, 8 hours to overnight.; Preheat oven to 350 degrees F (175 degrees C).; Remove plastic wrap and top bread slices with bananas. Combine brown sugar, butter, and corn syrup in a bowl; drizzle over bread slices.; Bake in the preheated oven until golden brown and set in the center, about 40 minutes. | Home; Recipes; Breakfast and Brunch; French Toast
Savory Parmesan French Toast | 15 | 4 | 4.5 | 9 m | 4 eggs; 1/3 cup grated Parmesan cheese; 1/4 cup milk; ground black pepper to taste; 1 tablespoon butter, plus more as needed; 4 slices whole wheat bread | Whisk eggs, Parmesan cheese, milk, and black pepper in a shallow bowl until light and fluffy, about 1 minute.; Melt butter in a large skillet over medium heat.; Dip both sides of each slice of bread in the egg mixture and place in the skillet. Cook until golden brown, 2 to 3 minutes per side. Transfer to a warmed plate and dot with butter to serve. | Home; Recipes; Breakfast and Brunch; French Toast
Zucchini Bread Breakfast Pizza | 9 | 3 | 3 | 35 m | 2 tablespoons coconut flour; 1/8 teaspoon ground cinnamon; 1/2 cup shredded zucchini; 1 egg, beaten; 1 1/2 teaspoons pure maple syrup; 1/8 teaspoon vanilla extract; 1/4 cup Greek yogurt; 2 fresh strawberries, hulled and sliced; 4 grapes, halved; 1/2 banana, sliced; 1/4 teaspoon orange zest, or to taste (optional); 1 teaspoon maple syrup, or to taste (optional) | Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.; Combine coconut flour and cinnamon in a bowl. Add zucchini, egg, 1 1/2 teaspoon maple syrup, and vanilla extract and mix well. Spread zucchini mixture into the form of a pizza crust on the prepared baking sheet.; Bake in the preheated oven until zucchini "crust" is cooked through, about 15 minutes. Cool "crust".; Spread yogurt onto zucchini "crust" and top with strawberries, grapes, banana, orange zest, and a drizzle of maple syrup. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Green Smoothie Bowl | 21 | 3 | 4.25 | 10 m | 3 cups fresh spinach; 1 banana; 1/2 (14 ounce) can coconut milk; 1/2 cup frozen mango chunks; 1/2 cup coconut water; 1/3 cup fresh raspberries; 1/4 cup fresh blueberries; 2 tablespoons granola; 1 tablespoon coconut flakes; 1/4 teaspoon sliced almonds; 1/4 teaspoon chia seeds (optional) | Blend spinach, banana, coconut milk, mango, and coconut water in a blender until smooth. Pour smoothie into a bowl and top with raspberries, blueberries, granola, coconut flakes, almonds, and chia seeds. | Home; Recipes; Breakfast and Brunch; Drinks
Skinny Pancakes | 9 | 3 | 3.25 | 15 m | 1 1/2 cups cottage cheese; 1 cup eggs; 2 tablespoons all-purpose flour; 2 tablespoons coconut oil; 1/2 teaspoon vanilla extract | Blend cottage cheese, eggs, flour, coconut oil, and vanilla extract together in a blender until batter is smooth.; Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Pancakes
Matcha Coconut Smoothie | 20 | 2 | 5 | 10 m | 1 banana; 1 cup frozen mango chunks; 2 leaves kale, torn into several pieces; 3 tablespoons white beans, drained; 2 tablespoons unsweetened shredded coconut; 1/2 teaspoon matcha green tea powder; 1 cup water | Combine banana, mango, kale, white beans, coconut, and matcha powder in a blender; add water. Blend mixture until very smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Delicious Low-Carb Almond Flour Pancakes | 9 | 4 | 3.75 | 14 m | 1/4 cup water; 2 tablespoons almond flour; 1 tablespoon vegetable oil; 1 tablespoon heavy whipping cream; 1 pinch baking powder; 2 drops vanilla extract; 1 egg | Whisk water, almond flour, vegetable oil, cream, baking powder, and vanilla extract together in a microwave-safe bowl.; Cook in the microwave on high until gooey batter forms, 1 1/2 to 2 minutes.; Let batter rest until cooled slightly, 1 to 2 minutes. Whisk in egg until well-blended.; Heat a lightly oiled griddle over medium-high heat. Drop batter onto the griddle and cook until bubbles form and the edges are dry, 4 to 5 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Pancakes
Grilled Cheese Brunch Bake | 52 | 3 | 4.75 | 1 h 10 m | cooking spray; 6 tablespoons mayonnaise; 18 slices white bread; 6 slices sharp Cheddar cheese; 2 cups shredded sharp Cheddar cheese, divided; 12 slices deli ham; 12 slices cooked bacon; 8 eggs; 1 cup milk; salt and ground black pepper to taste | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch casserole dish with cooking spray.; Spread an even layer of mayonnaise on one side of each slice of bread. Place 6 slices of bread mayonnaise-side down in a single layer at the bottom of the casserole dish.; Bake in the preheated oven until lightly toasted, about 5 minutes. Remove from oven and top each slice of bread with 1 slice of Cheddar cheese. Cover with 6 more slices of bread, mayonnaise-side up.; Bake in the preheated oven until bread is lightly toasted, about 5 minutes.; Sprinkle 1/4 of the shredded Cheddar cheese on top. Arrange slices of ham on top; cover with another 1/4 of the shredded Cheddar cheese. Repeat with bacon slices, covering with another 1/4 of the shredded Cheddar cheese. Arrange last 6 slices of bread, mayonnaise-side up, on top.; Whisk eggs, milk, salt, and black pepper together in a large bowl. Pour evenly over bread in the casserole dish. Sprinkle remaining 1/4 cup shredded Cheddar cheese on top. Cover with aluminum foil.; Bake in the preheated oven until set, about 30 minutes.; Remove aluminum foil and continue baking until cheese is bubbly and golden, 5 to 10 minutes more. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Cheesy Bacon & Eggs Brunch Casserole | 17 | 2 | 4.5 | 1 h 15 m | 8 slices bacon; 1 medium onion, chopped; 1 (8 ounce) loaf Italian bread, cut into 1-inch cubes; 2 cups shredded Cheddar cheese; 1 cup shredded mozzarella cheese; 1 cup cottage cheese; 5 eggs; 1 1/2 cups milk; 2 teaspoons McCormick® Ground Mustard; 1/2 teaspoon McCormick® Ground Nutmeg; 1 teaspoon McCormick® Black Pepper, Ground | Preheat oven to 350 degrees F. Cook bacon in large skillet until crisp. Drain bacon on paper towels; crumble and set aside. Remove all but 2 tablespoons drippings from skillet. Add onion to skillet; cook and and stir 3 minutes or until softened.; Spread 1/2 of the bread cubes in 13x9-inch baking dish. Layer with 1/2 each of the onion, bacon, Cheddar cheese and mozzarella cheese. Spread evenly with cottage cheese. Top with remaining bread cubes, onion, bacon, Cheddar cheese and mozzarella cheese.; Beat eggs in medium bowl with wire whisk. Add milk, mustard, pepper and nutmeg; mix well. Gradually pour into baking dish. Press bread cubes lightly into egg mixture until completely covered. Let stand 10 minutes.; Bake 40 to 50 minutes or until center is set and top is golden brown. | Home; Recipes; Breakfast and Brunch; Eggs
Avocado, Blueberry, Banana, and Chia Smoothie | 5 | 3 | 4 | 5 m | 1 cup vanilla-flavored almond milk; 1 avocado - peeled, pitted, and halved; 1 cup fresh blueberries; 1 banana; 1 cup ice; 1 tablespoon chia seeds | Combine almond milk, avocado, blueberries, banana, ice, and chia seeds in a blender; blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Asian Tuna with Poached Egg | 6 | 2 | 4.75 | 20 m | 1 teaspoon finely chopped red onion; 1 teaspoon minced red bell pepper; 1 tablespoon frozen green peas, thawed; 1 teaspoon minced fresh ginger; 1 teaspoon grated carrot; Salt and pepper to taste; 1 (5 ounce) can Bumble Bee® Solid White Albacore Tuna in Water, drained and chunked; 1/2 teaspoon sesame oil; 1 tablespoon seasoned rice vinegar; 1 teaspoon freshly squeezed lime juice; 1/4 teaspoon sriracha chili garlic sauce; 1 tablespoon white vinegar; 2 large fresh eggs; 1 English muffin, split and toasted; Chopped cilantro; Black sesame seeds (optional) | Place the red onion, red bell pepper, peas, ginger, carrots, salt, and pepper in a medium bowl. Stir together, and then fold in the tuna.; In a small bowl, whisk the sesame oil, rice vinegar, lime juice, and Sriracha(R). Pour over the tuna mixture and toss gently, trying not to break up the tuna.; Add a tablespoon of vinegar to a pan of lightly-salted water and bring it to a gentle simmer, not a hard boil (you'll see little bubbles in the pan). Crack each egg into a ramekin. Stir the water in a wide circle (like a whirlpool), and then slide in the egg; repeat for the second egg. Poach the eggs at a simmer for 4-5 minutes for soft yolks. Remove the poached eggs with a slotted spoon to a paper towel and allow to drain.; To serve, top half of an English muffin with half of the tuna mixture, place a poached egg on top, and then sprinkle with the chopped cilantro and black sesame seeds. | Home; Recipes; Trusted Brands: Recipes and Tips; Bumble Bee Seafoods
Asparagus Omelet | 27 | 3 | 4.75 | 25 m | 3 tablespoons olive oil, or as needed; 1/4 cup chopped onion; 1/4 cup chopped green pepper; 1 pound ham steak, cut into small pieces; 1 teaspoon garlic salt; 5 large eggs; 4 asparagus spears, chopped; 2 tablespoons milk (optional); 2 slices Provolone cheese | Heat olive oil in a pan over medium heat; add onion and green pepper. Cook and stir until onion is slightly brown, about 5 minutes. Stir in ham and garlic salt.; Beat eggs, asparagus, and milk together with a whisk or a fork in a bowl; pour over ham mixture. Add whole Provolone cheese slices or break them into pieces. Cook until eggs begin to set, about 3 minutes. Gently fold the omelet in half; cook until cheese melts, about 2 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Banana Mocha Protein Shake | 16 | 3 | 4 | 5 m | 1 chopped frozen banana; 1/2 cup chilled brewed coffee; 1/2 cup unsweetened vanilla-flavored almond milk; 1/2 cup fresh spinach (optional); 1 scoop vanilla protein powder; 1/2 teaspoon unsweetened cocoa powder; 1 packet stevia sweetener, or more to taste (optional) | Place banana in a blender. Add coffee, almond milk, spinach, protein powder, cocoa powder, and stevia sweetener; blend until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
